Country,URL,Year,NumAuth,Agency,ReportSeries,Title,FirstAuthor,AllAuthors,Citation
New Zealand,,1992,1,MoF,Research Papers,Catch per unit effort (CPUE) analysis of the hoki fishery,"Vignaux, M.",,"Vignaux, M. (et al.?) 1992 Catch per unit effort (CPUE) analysis of the hoki fishery"
New Zealand,,1992,1,MoF,Research Papers,A stock production modelling technique for fitting catch histories to stock index data,"Gilbert, D.J.",,"Gilbert, D.J. (et al.?) 1992 A stock production modelling technique for fitting catch histories to stock index data"
New Zealand,,1992,1,MoF,Research Papers,Assessment of red cod based on recent trawl survey and catch sampling data,"Beentjes, M.P.",,"Beentjes, M.P. (et al.?) 1992 Assessment of red cod based on recent trawl survey and catch sampling data"
New Zealand,,1992,1,MoF,Research Papers,Southern blue whiting (Micromesistius australis) fishery assessment for the 1992-93 fishing year,"Hanchet, S.M.",,"Hanchet, S.M. (et al.?) 1992 Southern blue whiting (Micromesistius australis) fishery assessment for the 1992-93 fishing year"
New Zealand,,1992,1,MoF,Research Papers,Incidental catch of non-fish species by setnets in New Zealand waters,"Taylor, P.R.",,"Taylor, P.R. (et al.?) 1992 Incidental catch of non-fish species by setnets in New Zealand waters"
New Zealand,,1992,2,MoF,Research Papers,"Growth, mortality, and yield estimates for rig (Mustelus lenticulatus)","Francis, M.P.",,"Francis, M.P. (et al.?) 1992 Growth, mortality, and yield estimates for rig (Mustelus lenticulatus)"
New Zealand,,1992,2,MoF,Research Papers,An evaluation of the risk estimators used for the western hoki stock and the Chatham Rise orange roughy fishery in the 1991 assessment,"Cordue, P. L.",,"Cordue, P. L. (et al.?) 1992 An evaluation of the risk estimators used for the western hoki stock and the Chatham Rise orange roughy fishery in the 1991 assessment"
New Zealand,,1992,2,MoF,Research Papers,"Foveaux Strait oyster (Tiostrea chilensis) assessment, 1992","Cranfield, H. J.",,"Cranfield, H. J. (et al.?) 1992 Foveaux Strait oyster (Tiostrea chilensis) assessment, 1992"
New Zealand,,1992,2,MoF,Research Papers,Stock assessment of hoki for the 1992-93 fishing year,"Cordue, P. L.",,"Cordue, P. L. (et al.?) 1992 Stock assessment of hoki for the 1992-93 fishing year"
New Zealand,,1992,2,MoF,Research Papers,Assessment of hake (Merluccius australis) for the 1992-93 fishing year,"Colman, J. A.",,"Colman, J. A. (et al.?) 1992 Assessment of hake (Merluccius australis) for the 1992-93 fishing year"
New Zealand,,1992,2,MoF,Research Papers,"Stock structure in the New Zealand red rock lobster, Jasus edwardsii","Booth, J. D.",,"Booth, J. D. (et al.?) 1992 Stock structure in the New Zealand red rock lobster, Jasus edwardsii"
