Country,Comment,URL,Year,NumAuth,Agency,ReportSeries,Branch,FirstAuthor,AllAuthors,Citation,Title,Date,Vol
Scotland,,http://www.scotland.gov.uk/Uploads/Documents/IR1098.pdf,1998,2,Fisheries Research Services,Internal Reports,,,"Ferro, R.S.T. & Kynoch, R.J.",,Some evidence of age-related selectivity in haddock (10/98),01/01/1998
Scotland,,http://www.scotland.gov.uk/Uploads/Documents/0199.pdf,1999,2,Fisheries Research Services,Internal Reports,,,"Slesser, G. & Turrell, W.R.",,"Annual cycles of physical, chemical and biological parameters in Scottish waters (1999 update) (01/99)",01/04/1999
Scotland,,http://www.scotland.gov.uk/Uploads/Documents/IR0299.pdf,1999,2,Fisheries Research Services,Internal Reports,,,"Gillibrand, P.A. & Turrell, W.R.",,A management model to predict the dispersion of soluble pesticides from marine fish farms. (02/99),01/01/1999
Scotland,,http://www.scotland.gov.uk/Uploads/Documents/IR0399.pdf,1999,6,Fisheries Research Services,Internal Reports,,,"Howell, T.R.W.; Bailey, N.; Davis, S.E.B.; Donald, J.W.; Hawkins, M.J. & Chapman, C.J.",,Survey of Solway cockle grounds 1999. (03/99),01/01/1999
Scotland,,http://www.scotland.gov.uk/Uploads/Documents/0100INT.pdf,2000,3,Fisheries Research Services,Internal Reports,,,"Mormede, S.; Davies, I.M. & Gordon, J.D.M.",,Contaminants in deep water fish stocks third progress report: December 1999. (01/2000),01/01/2000
Scotland,,http://www.scotland.gov.uk/Uploads/Documents/0200INT.pdf,2000,2,Fisheries Research Services,Internal Reports,,,"O'Neill, S. & Moffat, C.F.",,A review of protein phosphatase inhibition assays and other available methods for the detection of diarrhetic shellfish toxins. (02/2000),01/01/2000
Scotland,,http://www.scotland.gov.uk/Uploads/Documents/0300INT.pdf,2000,2,Fisheries Research Services,Internal Reports,,,"Minchin, A. & Davies, I.M.",,"BEQUALM and QUASIMEME workshops on imposex and intersex in marine snails, Nucella lapillus, Baccinum undatum and Littorria littorria. Report on the TBT training workshop. (03/2000)",01/01/2000
Scotland,,http://www.scotland.gov.uk/Uploads/Documents/0400INT.pdf,2000,1,Fisheries Research Services,Internal Reports,,,"Needle, C.L.",,The in's and out's of ICA. (04/2000),01/01/2000
Scotland,,http://www.scotland.gov.uk/Uploads/Documents/0500INT.pdf,2000,1,Fisheries Research Services,Internal Reports,,,"Raynard, R.S.",,A survey of wild fish in Scotland for evidence of Infectious Salmon Anaemia Virus - Report for the period May 1998 to December 1999. (05/2000),01/01/2000
Scotland,,http://www.scotland.gov.uk/Uploads/Documents/IR0600.pdf,2000,1,Fisheries Research Services,Internal Reports,,,"Donaghy, M.J.",,The survival to hatch of salmon eggs in three locations within the Muick catchment. (06/2000),01/01/2000
Scotland,,http://www.scotland.gov.uk/Uploads/Documents/0700INT.pdf,2000,3,Fisheries Research Services,Internal Reports,,,"McIntosh, A.D.; Minchin, A. & Davies I.M.",,"BEQUALM, P4501A1 activity in fish liver, round one exercise report. (07/2000)",01/01/2000
Scotland,,,2000,1,Fisheries Research Services,Internal Reports,,,"Donaghy, M.J.",,"The occurrence of non-native fishes in a Dubh Lochan in Rannoch, Perthshire in 1999. (08/2000) [no document available]",01/01/2000
Scotland,,http://www.scotland.gov.uk/Uploads/Documents/0900.pdf,2000,3,Fisheries Research Services,Internal Reports,,,"Webster, L.; Wells, D. & Campbell, L.",,Chlorobiphenyl contaminants at Pladda and Garroch Head in the Firth of Clyde in relation to sewage sludge input. (09/2000),01/01/2000
Scotland,,http://www.scotland.gov.uk/Uploads/Documents/1000.pdf,2000,4,Fisheries Research Services,Internal Reports,,,"Bailey, N.; Kinnear, J.; Howell, T. & Bova, D.",,Assessment of stocks of various inshore shellfish species in the East Neuk area of Fife. (10/2000),01/01/2000
Scotland,,http://www.scotland.gov.uk/Uploads/Documents/INT1100.pdf,2000,2,Fisheries Research Services,Internal Reports,,,"Tuck, I. & Bailey, N.",,Assessment of Nephrops stocks in Loch Torridon area. (11/2000),01/01/2000
Scotland,,http://www.scotland.gov.uk/Uploads/Documents/INT1200.pdf,2000,3,Fisheries Research Services,Internal Reports,,,"Mormede, S.; Davies, I.M. & Gordon, J.D.",,Contaminants in deep water fish stocks fourth progress report: October 2000. (12/2000),01/01/2000
Scotland,,http://www.scotland.gov.uk/Uploads/Documents/INT1300.pdf,2000,3,Fisheries Research Services,Internal Reports,,,"O'Neill, S.; Davies, I.M. & Moffat, C.F.",,"Colormetric protein phosphatase assay for the detection of diarrhetic shellfish toxin, okadaic acid. (13/2000)",01/01/2000
Scotland,,http://www.scotland.gov.uk/Uploads/Documents/INT1400.pdf,2000,1,Fisheries Research Services,Internal Reports,,,"Shepherd, N.J.",,Controlled cooking of trout for sensory assessment. (14/2000),01/01/2000
Scotland,,,2000,1,Fisheries Research Services,Internal Reports,,,"Turrell, W.R.",,Nutrient inputs to the North Sea; comparison of UK urban waste water inputs with other fluxes. (15/2000) [no document available],01/01/2000
Scotland,,http://www.scotland.gov.uk/Uploads/Documents/1301.pdf,2001,10,Fisheries Research Services,Internal Reports,,,"Stagg, R.M.; Bruno, D.W.; Cunningham, C.O.; Raynard, R.S.; Munro, P.D.; Murray, A.G.; Allan, C.E.T.; Smail, D.A.; McVicar, A.H. & Hastings, T.S.",,Epizootological investigations into an outbreak of infectious salmon anaemia (ISA) in Scotland (13/01),01/04/2001
Scotland,,http://www.scotland.gov.uk/Uploads/Documents/0101.pdf,2001,2,Fisheries Research Services,Internal Reports,,,"Henderson, A. & Davies, I.M.",,"Review of the regulation and monitoring of aquaculture in Scotland, with emphasis on environment and consumer protection (01/01)",01/01/2001
Scotland,,http://www.scotland.gov.uk/Uploads/Documents/IR0201.pdf,2001,6,Fisheries Research Services,Internal Reports,,,"Chatwin, P.G.; Turrell, W.R.; Miller, P.I.; Slesser, G.; Hughes, S. & Gillibrand, P.",,"Mesoscale variability in the Faroe-Shetland Channel during FRV Scotia cruise 16, 5-19 October 2000.(02/01)",01/01/2001
Scotland,,http://www.scotland.gov.uk/Uploads/Documents/IR0301.pdf,2001,3,Fisheries Research Services,Internal Reports,,,"Zuur, A.F.; Fryer, R.J. & Newton, A.W.",,The comparative fishing trial between Scotia II and Scotia III. (03/01),01/01/2001
